text_original,text_preprocessed,len_original,len_preprocessed,reduction_pct
Makanannya enak tempatnya nyaman suka banget,makan enak tempat nyaman suka banget,6,6,0.0
Bagusss poll,bagusss banget,2,2,0.0
TOP banget,top banget,2,2,0.0
wahh rekomendasi si,wahh rekomendasi,3,2,33.33333333333333
bagus,bagus,1,1,0.0
top,top,1,1,0.0
enak pol,enak banget,2,2,0.0
top banget,top banget,2,2,0.0
enakk banget baru pertama dan rekomen banget ternyata,enakk banget baru pertama rekomendasi banget nyata,8,7,12.5
Bagus dan enakk bnget,bagus enakk bnget,4,3,25.0
"really love the atmosphere, the food really good a solid 10/10",really love the atmosphere the food really good a solid,11,10,9.090909090909092
"Pertama kesini pesen waffle enak banget. Terus kedua dateng pesen lagi. Kecewa bgt. Waffle keras kyk batu.
Dipotong susah bgt dan gk bisa kemakan. Akhirnya cuma makan potongan buah sama ice cream aja.",pertama kesini sen waffle enak banget terus dua dateng sen kecewa banget waffle keras kyk batu potong susah banget tidak makan akhir cuma makan potong buah sama ice cream aja,33,30,9.090909090909092
Menu makanannya mantab ğŸ‘ğŸ»,menu makan mantap,4,3,25.0
Hunian nyaman,huni nyaman,2,2,0.0
"makanannya enak banget, stafnya ramah2, tempatnya cozyy besttttt, rekomend banget klepon cakenya",makan enak banget staf ramah tempat cozyy besttttt rekomendasi banget klepon cakenya,12,12,0.0
"Cafe bersih dan estetik, pelayanan ramah",cafe bersih estetik layan ramah,6,5,16.666666666666664
pelayanan ramah dan cepat,layan ramah cepat,4,3,25.0
"Pelayanan ramah, cafe bersih dan estetik",layan ramah cafe bersih estetik,6,5,16.666666666666664
"Mantapp, pelayan ramah dan cepat",mantapp layan ramah cepat,5,4,20.0
"Suasana nyaman, cocok utk quality time",suasana nyaman cocok quality time,6,5,16.666666666666664
"Pelayanannya ramah, tempat nyaman, bersih dan estetik. Makanannya jg enak",layan ramah tempat nyaman bersih estetik makan enak,10,8,20.0
Pelayanan dan tempatnya nyaman bersih dan estetik,layan tempat nyaman bersih estetik,7,5,28.57142857142857
Enak dan mantap,enak mantap,3,2,33.33333333333333
"Pelayanan sangat ramah, tempat nyaman, desain dan interior cafenya bagus",layan sangat ramah tempat nyaman desain interior cafenya bagus,10,9,10.0
Tempat nyaman dan cafe nya bagus,tempat nyaman cafe nya bagus,6,5,16.666666666666664
"ENAAAKK , serasa di beach club",enaaakk serasa beach club,6,4,33.33333333333333
Pelayanan dan Makanannya Sangat memuaskan dan Ramah,layan makan sangat muas ramah,7,5,28.57142857142857
"Mantap jiwa, cocok bikin acara",mantap jiwa cocok bikin acara,5,5,0.0
"Is not as a good as the review.
Steak daging ayam gosong rasa sate :) saucenya juga gak masuk. Nanggung banget ambience restonya.. untuk harga resto oke di jogja.",is not as a good as the review steak daging ayam gosong rasa sate saucenya tidak masuk nanggung banget ambience restonya harga resto oke jogja,29,25,13.793103448275861
"Nice ambience, quiet with light music. Food is of quality especially recommend the Sate Merah Khas Bali, absolutely bagus with the special marination, peanut space and the mix of chilli!",nice ambience quiet with light music food is of quality especially recommend the sate merah khas bal absolutely bagus with the special marination peanut space and the mix of chilli,30,30,0.0
Makanan nya enak bingitss..ğŸ¥°,makan nya enak bingitss,4,4,0.0
Suka banget sama menu pizza dan molen bandungnya.,suka banget sama menu pizza molen bandung,8,7,12.5
"Makanan nya enak semua, tempatnyaa banyak spot buat foto ğŸ˜Š",makan nya enak semua tempatnyaa banyak spot buat foto,10,9,10.0
makananya enak sekali,makananya enak sekali,3,3,0.0
"Mantap, rasa konsisten selalu wenakkk
Ketagihan selalu dengan rasa dan atmosfer nyaa",mantap rasa konsisten selalu wenakkk tagih selalu rasa atmosfer nyaa,12,10,16.666666666666664
enaaaak BGT dan murah???? place is comfy dan ada kusciiiing :3 pelayanannya jg cepet itâ€™s a solid 10 out of 10 from me! â™¡,enaaaak banget murah place is comfy ada kusciiiing layan cepet it s a solid out of from me,24,18,25.0
Mie siram kangkung nya best banget!,mie siram kangkung nya best banget,6,6,0.0
mie nya enak sekaliğŸ‘ğŸ‘ğŸ‘,mie nya enak sekali,4,4,0.0
Enak,enak,1,1,0.0
"egiluyyy, jujur enakk bangatt! worth it untuk dicobaaa temann-teman ketika berkunjung ke jogjaa. bakal kangenn banget sehh",egiluyyy jujur enakk bangatt worth it dicobaaa temann teman kunjung jogjaa bakal kangenn banget sehh,17,15,11.76470588235294
ENAK BGTTTTTT ğŸ¥°â¤ï¸â¤ï¸â¤ï¸,enak bgtttttt,3,2,33.33333333333333
enaaakk. porsi pas. rasa pas. tempatnya juga homey bangeett. semua staff ramah!,enaaakk porsi pas rasa pas tempat homey bangeett semua staff ramah,12,11,8.333333333333332
Rasanya mantap,rasa mantap,2,2,0.0
"Cozy place to eat, kalau bingung mau makan apa ini selalu jadi pilihan. Mienya selalu enak dengan topping beragam ditambah lagi pilihan nasinya sekarang juga gak kalah banyaak.

My favorite will be Mie dengan topping katsunyaa âœ¨âœ¨âœ¨âœ¨",cozy place to eat kalau bingung mau makan apa selalu jadi pilih mienya selalu enak topping agam tambah pilih nasi sekarang tidak kalah banyaak my favorite will be mie topping katsunyaa,37,31,16.216216216216218
"Tempatnya enak adem n bersih, makanannyaa jugaa enaakkk banget mbak-mbaknya ramah, seruu sama mas-masnya juga",tempat enak adem n bersih makanannyaa jugaa enaakkk banget mbak mbak ramah seruu sama mas mas,15,16,-6.666666666666667
"Mienya enak banget! Teksturnya kenyal, bumbunya gurih pas, dan ayam katsunya garing di luar tapi lembut di dalam. Porsinya pas dan ngenyangin, disajikan masih hangat jadi makin nikmat. Katsunya tebel dan rasanya seimbang antara gurih dan sedikit manis. Tempatnya juga bersih dan nyaman, pelayanannya cepat dan ramah. Harganya sesuai sama rasa, recommended!",mienya enak banget tekstur kenyal bumbu gurih pas ayam katsunya garing luar lembut dalam porsi pas ngenyangin saji hangat jadi makin nikmat katsunya tebel rasa imbang gurih sedikit manis tempat bersih nyaman layan cepat ramah harga sesuai sama rasa rekomendasi,52,40,23.076923076923077
"Selalu Langganan, tempatnya cozy dan makanannya enak sekali. TERIMAKASIHHH",selalu langgan tempat cozy makan enak sekali terimakasihhh,9,8,11.11111111111111
"Makanan nya enak, suasana nya nyaman ditambah lagi lagu nya nya yang asik, pelayanan nya juga ramah suka senyum",makan nya enak suasana nya nyaman tambah lagu nya nya asik layan nya ramah suka senyum,19,16,15.789473684210526
"Makanan nya enak, lagu nya enak juga bikin suasana jadi asik+nyaman, terus pelayanan nya juga ramahh",makan nya enak lagu nya enak bikin suasana jadi asik nyaman terus layan nya ramahh,16,15,6.25
"Makanan nya enak,.. tempatnya cozy",makan nya enak tempat cozy,5,5,0.0
